"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Asher A.D.; Briney K.A.; Jones K.M.L.; Regalado M.; Perry M.R.; Goben A.; Smale M.A.; Salo D.","Asher, Andrew D. (55848660700); Briney, Kristin A. (57199353182); Jones, Kyle M. L. (56259078200); Regalado, Mariana (24345482200); Perry, Michael R. (57216256976); Goben, Abigail (55849675300); Smale, Maura A. (35749274600); Salo, Dorothea (24470615000)","55848660700; 57199353182; 56259078200; 24345482200; 57216256976; 55849675300; 35749274600; 24470615000","Questions of Trust: A Survey of Student Expectations and Perspectives on Library Learning Analytics","2022","Library Quarterly","92","2","","151","170","19","1","10.1086/718605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127987604&doi=10.1086%2f718605&partnerID=40&md5=16504c761bfb60819f9984f29e9f6d78","Indiana University–Bloomington, United States; California Institute of Technology, United States; Indiana University–Indianapolis, United States; Brooklyn College, City University of New York (CUNY), United States; Northwestern University Libraries, United States; University of Illinois at Chicago, United States; New York City College of Technology, City University of New York (CUNY), United States; Faculty III, University of Wisconsin–Madison (UW-Madison), United States","Asher A.D., Indiana University–Bloomington, United States; Briney K.A., California Institute of Technology, United States; Jones K.M.L., Indiana University–Indianapolis, United States; Regalado M., Brooklyn College, City University of New York (CUNY), United States; Perry M.R., Northwestern University Libraries, United States; Goben A., University of Illinois at Chicago, United States; Smale M.A., New York City College of Technology, City University of New York (CUNY), United States; Salo D., Faculty III, University of Wisconsin–Madison (UW-Madison), United States","Universities are developing learning analytics initiatives that include academic library participation. Libraries rarely inform their students about learning analytics projects or general library data practices. Without a clear student voice in library learning analytics projects, libraries and librarians are creating potential privacy complications. This study seeks to document students’ thoughts on academic library participation in learning analytics and privacy concerns. A survey was developed and fielded at eight US higher education institutions, and this article covers the findings from the approximately 2,200 responses. Although most students reported high levels of trust in libraries and librarians, a consistent minority indicated little or no trust at all. Findings demonstrate that students considered librarian access to and sharing of personally identifiable information to constitute a privacy violation but also lacked awareness of the data and analytic practices on which libraries rely. Notable demographic differences were also discovered. © 2022 The University of Chicago. All rights reserved.","","Article","Final","","Scopus","2-s2.0-85127987604"
"Chen B.; Poquet O.","Chen, Bodong (55286416400); Poquet, Oleksandra (57190012456)","55286416400; 57190012456","Networks in Learning Analytics: Where Theory, Methodology, and Practice Intersect","2022","Journal of Learning Analytics","9","1","","1","12","11","3","10.18608/jla.2022.7697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133398279&doi=10.18608%2fjla.2022.7697&partnerID=40&md5=d04bc27f3f76554c4abeda3d956b9022","Department of Curriculum and Instruction, University of Minnesota, 159 Pillsbury Drive SE, Minneapolis, 55455, MN, United States; Centre for Research and Interdisciplinarity, Université de Paris and INSERM U1284, 8 bis rue Charles V, Paris, 75004, France; Centre for Change and Complexity in Learning, Education Futures, University of South Australia, BH3-21, City West Campus, Adelaide, 5000, SA, Australia","Chen B., Department of Curriculum and Instruction, University of Minnesota, 159 Pillsbury Drive SE, Minneapolis, 55455, MN, United States; Poquet O., Centre for Research and Interdisciplinarity, Université de Paris and INSERM U1284, 8 bis rue Charles V, Paris, 75004, France, Centre for Change and Complexity in Learning, Education Futures, University of South Australia, BH3-21, City West Campus, Adelaide, 5000, SA, Australia","Network analysis has contributed to the emergence of learning analytics. In this editorial, we briefly introduce network science as a field and situate it within learning analytics. Drawing on the Learning Analytics Cycle, we highlight that effective application of network science methods in learning analytics involves critical considerations of learning processes, data, methods and metrics, and interventions, as well as ethics and value systems surrounding these areas. Careful work must meaningfully situate network methods and interventions within the theoretical assumptions explaining learning, as well as within pedagogical and technological factors shaping learning processes. The five empirical papers in the special section demonstrate diverse applications of network analysis, and the invited commentaries from cognitive network science and physics education research further discuss potential synergies between learning analytics and other sister fields with a shared interest in leveraging network science. We conclude by discussing opportunities to strengthen the rigour of network-based learning analytics projects, expand current work into nascent areas, and achieve more impact by holistically addressing the full cycle of learning analytics. © 2022, Society for Learning Analytics Research. All rights reserved.","learning analytics; network analysis; Network science; networked learning; social network analysis","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85133398279"
"Martin S.; Lopez-Martin E.; Moreno-Pulido A.; Meier R.; Castro M.","Martin, Sergio (55450108900); Lopez-Martin, Esther (35068163300); Moreno-Pulido, Alexis (55110436400); Meier, Russ (7201425070); Castro, Manuel (26643374700)","55450108900; 35068163300; 55110436400; 7201425070; 26643374700","The Future of Educational Technologies for Engineering Education","2021","IEEE Transactions on Learning Technologies","14","5","","613","623","10","4","10.1109/TLT.2021.3120771","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118257804&doi=10.1109%2fTLT.2021.3120771&partnerID=40&md5=64b86aecadc52b934f6ae966eaa631bc","Electrical and Computer Engineering Department, Universidad Nacional de Educación A Distancia (UNED), Madrid, 28040, Spain; Department of Research and Diagnostic Methods in Education, Universidad Nacional de Educación A Distancia (UNED), Madrid, 28040, Spain; Central Library, Universidad Nacional de Educación A Distancia (UNED), Madrid, 28040, Spain; Department of Electrical Engineering and Computer Science, Milwaukee School of Engineering, Milwaukee, 53202, WI, United States","Martin S., Electrical and Computer Engineering Department, Universidad Nacional de Educación A Distancia (UNED), Madrid, 28040, Spain; Lopez-Martin E., Department of Research and Diagnostic Methods in Education, Universidad Nacional de Educación A Distancia (UNED), Madrid, 28040, Spain; Moreno-Pulido A., Central Library, Universidad Nacional de Educación A Distancia (UNED), Madrid, 28040, Spain; Meier R., Department of Electrical Engineering and Computer Science, Milwaukee School of Engineering, Milwaukee, 53202, WI, United States; Castro M., Electrical and Computer Engineering Department, Universidad Nacional de Educación A Distancia (UNED), Madrid, 28040, Spain","This article analyzes a survey delivered in 2019 to 259 experts in engineering education that asked them to forecast information and communication technologies, which were most likely to impact the practice of engineering education based on the expert's discipline (electrical, electronics, mechanical, telecommunications engineering, computer science, etc.) and region. The analysis was performed from different perspectives. First, a descriptive approach was used to analyze technologies that are considered as the most important for the experts and a nonparametric perspective approach was adopted to evaluate variation in the responses according to discipline, region, and years of experience. Second, a decision tree technique was used to establish technology profiles based on when the experts expected that the technologies will impact mass engineering education and the challenges or requirements needed to get widespread use. Third, the Spearman correlation coefficient was used to determine the value of social interest, measured through Google Trends, as a predictor of expert ratings of different technologies. Results indicate adaptive and personalized learning technologies, learning analytics, and open educational resources are the three most promising technologies that will impact engineering education in the short term. Results also show a relation between the predictions made by the experts in 2019 and the social interest in the Google Trends education category.  © 2008-2011 IEEE.","Engineering education trends; Google Trends; Technology meta-trends.; Technology-enhanced learning","Article","Final","","Scopus","2-s2.0-85118257804"
"Barthakur A.; Joksimovic S.; Kovanovic V.; Richey M.; Pardo A.","Barthakur, Abhinava (57219314197); Joksimovic, Srecko (55837206800); Kovanovic, Vitomir (55096902400); Richey, Michael (18042274300); Pardo, Abelardo (56699549500)","57219314197; 55837206800; 55096902400; 18042274300; 56699549500","Aligning objectives with assessment in online courses: Integrating learning analytics and measurement theory","2022","Computers and Education","190","","104603","","","","2","10.1016/j.compedu.2022.104603","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135884408&doi=10.1016%2fj.compedu.2022.104603&partnerID=40&md5=f82b8ed1ab5e389d651c663e89f90bcc","University of South Australia, Adelaide, 5001, SA, Australia; The Boeing Company, Seattle, WA, 98124, United States","Barthakur A., University of South Australia, Adelaide, 5001, SA, Australia; Joksimovic S., University of South Australia, Adelaide, 5001, SA, Australia; Kovanovic V., University of South Australia, Adelaide, 5001, SA, Australia; Richey M., The Boeing Company, Seattle, WA, 98124, United States; Pardo A., University of South Australia, Adelaide, 5001, SA, Australia","Well-designed online courses enhance learning experiences and allow effective development of learners' skills and knowledge. A critical factor contributing to the design of online courses in the higher education settings are well-defined learning objectives that align with course assessments and learning activities. While there are several introspective instruments to evaluate course designs, with the broader adoption of educational technologies and digital tools, there is a wealth of data that offers insights on the alignment of learning objectives to assessments. Such data has paved the way for evidence-based methods of investigating course effectiveness within higher education. This study outlines a methodology for designing and evaluating the alignment between course learning objectives and assessment activities at scale, utilising a combination of learning analytics and measurement theory approaches, more specificially exploratory multi-dimensional item response theory (MIRT) models. We demonstrate the proposed methodology within a professional development MOOC on leadership skills development, where we evaluate the alignemnt between course objectives and reflective writing assessments activities. Our results suggested that the alignment of the existing course objectives to assessment activities can be improved, showing the practical value of the proposed approach. The theoretical and practical implications of this research are further illustrated. © 2022 Elsevier Ltd","Educational assessment; Learning analytics; Learning objectives; Multi-dimensional item response theory","Article","Final","","Scopus","2-s2.0-85135884408"
"Zhang Z.; Zaman A.; Xu J.; Liu X.","Zhang, Zhipeng (57200087637); Zaman, Asim (57203662066); Xu, Jinxuan (57449181100); Liu, Xiang (36602967400)","57200087637; 57203662066; 57449181100; 36602967400","Artificial intelligence-aided railroad trespassing detection and data analytics: Methodology and a case study","2022","Accident Analysis and Prevention","168","","106594","","","","5","10.1016/j.aap.2022.106594","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124455242&doi=10.1016%2fj.aap.2022.106594&partnerID=40&md5=db5e9248f5a34a41ac508ef605d4f6b0","hanghai Key Laboratory for Digital Maintenance of Buildings and Infrastructure, School of Naval Architecture, Ocean and Civil Engineering, Shanghai Jiao Tong University, China; Department of Civil and Environmental Engineering, Rutgers, The State University of New Jersey, United States; Department of Electrical and Computer Engineering, Rutgers, The State University of New Jersey, United States","Zhang Z., hanghai Key Laboratory for Digital Maintenance of Buildings and Infrastructure, School of Naval Architecture, Ocean and Civil Engineering, Shanghai Jiao Tong University, China, Department of Civil and Environmental Engineering, Rutgers, The State University of New Jersey, United States; Zaman A., Department of Civil and Environmental Engineering, Rutgers, The State University of New Jersey, United States; Xu J., Department of Electrical and Computer Engineering, Rutgers, The State University of New Jersey, United States; Liu X., Department of Civil and Environmental Engineering, Rutgers, The State University of New Jersey, United States","The railroad industry plays a principal role in the transportation infrastructure and economic prosperity of the United States, and safety is of the utmost importance. Trespassing is the leading cause of rail-related fatalities and there has been little progress in reducing the trespassing frequency and deaths for the past ten years in the United States. Although the widespread deployment of surveillance cameras and vast amounts of video data in the railroad industry make witnessing these events achievable, it requires enormous labor-hours to monitor real-time videos or archival video data. To address this challenge and leverage this big data, this study develops a robust Artificial Intelligence (AI)-aided framework for the automatic detection of trespassing events. This deep learning-based tool automatically detects trespassing events, differentiates types of violators, generates video clips, and documents basic information of the trespassing events into one dataset. This study aims to provide the railroad industry with state-of-the-art AI tools to harness the untapped potential of video surveillance infrastructure through the risk analysis of their data feeds in specific locations. In the case study, the AI has analyzed over 1,600 h of archival video footage and detected around 3,000 trespassing events from one grade crossing in New Jersey. The data generated from these big video data will potentially help understand human factors in railroad safety research and contribute to specific trespassing proactive safety risk management initiatives and improve the safety of the train crew, rail passengers, and road users through engineering, education, and enforcement solutions to trespassing. © 2022 Elsevier Ltd","Artificial Intelligence; Computer vision; Railroad safety; Risk management; Trespassing","Article","Final","","Scopus","2-s2.0-85124455242"
"Traxler A.","Traxler, Adrienne (36560390400)","36560390400","Networks and Learning: A View from Physics","2022","Journal of Learning Analytics","9","1","","111","119","8","3","10.18608/jla.2022.7669","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133267949&doi=10.18608%2fjla.2022.7669&partnerID=40&md5=11966342387dce8406d966840dc07449","Department of Physics, Wright State University, Dayton, OH, United States","Traxler A., Department of Physics, Wright State University, Dayton, OH, United States","Like learning analytics, physics education research is a relatively young field that draws on perspectives from multiple disciplines. Network analysis has an even more heterodox perspective, with roots in mathematics, sociology, and, more recently, computer science and physics. This paper reviews how network analysis has been used in physics education research and how it connects to some of the work in this special issue. Insights from physics education research suggest combining social and interaction networks with other data sources and looking for finer-grained details to use in constructing networks, and learning analytics is promising for both avenues. The discussion ends by looking at the complications with incorporating gender into network analysis, and finally the possibilities for the future. © 2022, Society for Learning Analytics Research. All rights reserved.","gender; network analysis; physics education research","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85133267949"
"Moore W.B.; Felo A.","Moore, Walter B. (57224538059); Felo, Andrew (6506646595)","57224538059; 6506646595","The evolution of accounting technology education: Analytics to STEM","2022","Journal of Education for Business","97","2","","105","111","6","9","10.1080/08832323.2021.1895045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107833499&doi=10.1080%2f08832323.2021.1895045&partnerID=40&md5=02f18fd0404de932bdec12f0e929295d","Nova Southeastern University, Fort Lauderdale, FL, United States; Susquehanna University, Selinsgrove, PA, United States","Moore W.B., Nova Southeastern University, Fort Lauderdale, FL, United States; Felo A., Susquehanna University, Selinsgrove, PA, United States","The accounting profession is undergoing a radical change that supplants many historical accounting duties by requiring technical skills to be added to the accountant’s tool chest. Stakeholders are increasingly adopting disruptive technologies, including data analytics, blockchain, artificial intelligence, and cloud computing. We reviewed 185 accounting schools’ websites, curricula, course descriptions, syllabi, and learning outcomes to determine if and how accounting departments incorporate data analytics into their curriculum. We also sent a survey to accounting professionals to seek their opinions regarding data analytics and STEM-designated accounting programs. Generally, data analytics was viewed as adding value, but STEM designated education did not. © 2021 Taylor & Francis Group, LLC.","Accounting analytics; Accounting curriculum; accounting education; accounting technology; data analytics; STEM","Article","Final","","Scopus","2-s2.0-85107833499"
"Frost R.; Matta V.; Kenyo L.","Frost, Raymond (55496017300); Matta, Vic (35817340600); Kenyo, Lauren (57211338063)","55496017300; 35817340600; 57211338063","Teaching Tip A System to Automate Scaffolding and Formative Assessment While Preventing Plagiarism: Enhancing Learning in IS and Analytics Courses That Use Excel","2021","Journal of Information Systems Education","32","4","","228","243","15","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126381550&partnerID=40&md5=cadd2ea6776a2e43bf34c2340fa2eaa9","Department of Analytics and Information Systems, Ohio University, Athens, 45701, OH, United States","Frost R., Department of Analytics and Information Systems, Ohio University, Athens, 45701, OH, United States; Matta V., Department of Analytics and Information Systems, Ohio University, Athens, 45701, OH, United States; Kenyo L., Department of Analytics and Information Systems, Ohio University, Athens, 45701, OH, United States","Student learning benefits from individual support and feedback. This type of support does not scale well especially in large classes. A system was built to automate the delivery of individual support and feedback on Excel assignments in information systems and analytics courses. The system embeds instructional scaffolding in the distributed assignments then grades and provides formative assessment for students’ submitted assignments. Both the scaffolding and formative assessment help students advance in their understanding. To ensure that students do their own work, the system has highly visible controls to prevent plagiarism including the ability to generate and grade unique assignments for each student. The system promotes learning, prevents plagiarism, and eases faculty grading burdens. It has been fine-tuned over two years of continuous use with thousands of students. The software is freely available from the authors for academic use © 2021,Journal of Information Systems Education. All Rights Reserved.","Excel; Instructional technology; Is education; Pedagogy; Plagiarism","Article","Final","","Scopus","2-s2.0-85126381550"
"Rusho M.A.; Ahmed M.A.; Sadri A.M.","Rusho, M. Ahmed (57241561200); Ahmed, Md Ashraf (57217377143); Sadri, Arif Mohaimin (55673568000)","57241561200; 57217377143; 55673568000","Social media response and crisis communications in active shootings during COVID-19 pandemic","2021","Transportation Research Interdisciplinary Perspectives","11","","100420","","","","3","10.1016/j.trip.2021.100420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114055170&doi=10.1016%2fj.trip.2021.100420&partnerID=40&md5=bc3ebd8f529b993da66c31bd8eec0d6d","Moss Department of Construction Management, Florida International University, Miami, 33174, FL, United States; Department of Civil and Environmental Engineering, Florida International University, Miami, 33174, FL, United States","Rusho M.A., Moss Department of Construction Management, Florida International University, Miami, 33174, FL, United States; Ahmed M.A., Department of Civil and Environmental Engineering, Florida International University, Miami, 33174, FL, United States; Sadri A.M., Moss Department of Construction Management, Florida International University, Miami, 33174, FL, United States","Active shooting, a man-made hazard, remains an unsolved challenge as communities get threatened more frequently than ever before. As a low-cost alternative to the traditional approaches of responding to such crisis, data-driven approaches can help to identify more tailored response strategies and guide towards more informed decision-making. Recently, social media platforms helped researchers and practitioners with sufficient details and coverage to understand how communities respond to natural hazards through social media interactions. However, the empirical literature does not provide any comprehensive guidance on public reactions to active shootings as observed through social media interactions. This study adopted a holistic data analytics approach to collect large-scale social media data from Twitter (~252 K tweets, 04.17.20–05.20.20). The 2020 Nova Scotia Attacks were among the major shooting events observed during this period in addition to the unprecedented experiences people were having due to the COVID-19 pandemic. This study used several natural language processing and data mining approaches (such as temporal heatmaps, word bigrams, and topic mining) to cluster the social media crisis communication patterns of active shootings and create infographics of the diverse needs, concerns, and reactions observed in the aftermath of such events. Key interactions include bailing out of shooters, shooting investigation, police response, gun violence, lessons learned from the previous school (Sandy Hook) and mass shootings (El Paso), vehicle ramming (Toronto Van Attack), mobility issues, and health concerns during COVID-19 pandemic, changes in economy and education systems. This study would allow first responders and emergency management officials to enhance the capacity of social sharing platforms and facilitate risk communication in no-notice scenarios. Additionally, the infographics could serve as a data dictionary in future active shooting scenarios to maximize peer influence. © 2021 The Author(s)","Active shooting; COVID-19; Machine learning; Social media","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85114055170"
"Wang Y.; Song J.","Wang, Ying (57200196352); Song, Jaeki (8875400500)","57200196352; 8875400500","The Success of Massive Open Online Courses (MOOCs): An Investigation on Course Relevance","2022","Communications of the Association for Information Systems","51","1","40","","","","1","10.17705/1cais.05131","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143197885&doi=10.17705%2f1cais.05131&partnerID=40&md5=cfb57e84a49830534debdbc3ab1f114b","College of Business, Northern IllinoiPs University, United States; Rawls College of Business, Texas Tech University, United States","Wang Y., College of Business, Northern IllinoiPs University, United States; Song J., Rawls College of Business, Texas Tech University, United States","MOOCs have provided online learners easy access to education for professional development, helping them acquire new skills to advance their careers during the pandemic. However, the importance of linking MOOCs with job market demands has not been explored in the existing literature. This study investigates the role of course relevance in MOOC success by examining the effect of the alignment between courses and job market demands on learner satisfaction. By adopting the DeLone & McLean information system success model as a framework, we propose that course relevance positively influences learner satisfaction. This relationship is moderated by course level and accessibility. We tested our model using information about 1,987 MOOCs and 485 job postings. The results show that learners will be more satisfied with courses if instructors enhance course relevance on trending topics. The effect of relevance is greater for advanced courses and magnified by lifetime accessibility. This paper contributes to MOOC research from three perspectives: 1) it examines the role of course relevance in MOOC success; 2) it points out the importance of considering learners’ characteristics in evaluating MOOC success; 3) it provides valuable guidance on course design, which helps course providers maintain the prosperity of MOOCs in the post-pandemic. © 2022 by the Association for Information Systems.","Business Analytics; Course Relevance; Learner Satisfaction; MOOCs; Online Learning; Topic Modeling","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85143197885"
"Fiallos Ordonez A.; Garcia K.C.; Chehab X.O.","Fiallos Ordonez, Angel (57409600200); Garcia, Katherine Chiluiza (55975399800); Chehab, Xavier Ochoa (57409594300)","57409600200; 55975399800; 57409594300","Curriculum Design Assistant System Based on Automatically-Generated Educational Ontologies","2021","Revista Iberoamericana de Tecnologias del Aprendizaje","16","3","","225","231","6","0","10.1109/RITA.2021.3126583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122320946&doi=10.1109%2fRITA.2021.3126583&partnerID=40&md5=47bca9832aede461f76bf628165e7821","Facultad de Ingenieriá Eléctrica y Computación, Escuela Superior Politécnica Del Litoral (ESPOL), Guayaquil, Ecuador; Department of Administration, Leadership and Technology, NYU Steinhardt School of Culture, Education, and Human Development, New York, NY, United States","Fiallos Ordonez A., Facultad de Ingenieriá Eléctrica y Computación, Escuela Superior Politécnica Del Litoral (ESPOL), Guayaquil, Ecuador; Garcia K.C., Facultad de Ingenieriá Eléctrica y Computación, Escuela Superior Politécnica Del Litoral (ESPOL), Guayaquil, Ecuador; Chehab X.O., Department of Administration, Leadership and Technology, NYU Steinhardt School of Culture, Education, and Human Development, New York, NY, United States","This work describes the design and implementation of a functional assistant system to support instructors in designing or re-designing their courses' curriculum. The system uses automatically generated ontologies from textbooks that reflect the structure of a specific body of knowledge. Twelve instructors participated in the generation of curricula for a programming fundamentals course using the assistant system. An initial evaluation of this tool suggests that the system successfully helped novel instructors design a new curriculum.  © 2013 IEEE.","deep learning; education; intelligent curricula; learning analytics; natural language processing; Ontologies; word2vec","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85122320946"
"Han D.; Parsad G.; Kim H.; Shim J.; Kwon O.-S.; Son K.A.; Lee J.; Cho I.; Ko S.","Han, Dongyun (57219112541); Parsad, Gorakh (57224315259); Kim, Hwiyeon (57215324537); Shim, Jaekyom (57224311660); Kwon, Oh-Sang (56735219400); Son, Kyung A. (57224318138); Lee, Jooyoung (57224320594); Cho, Isaac (55211869200); Ko, Sungahn (57220904697)","57219112541; 57224315259; 57215324537; 57224311660; 56735219400; 57224318138; 57224320594; 55211869200; 57220904697","HisVA: A Visual Analytics System for Studying History","2022","IEEE Transactions on Visualization and Computer Graphics","28","12","","4344","4359","15","2","10.1109/TVCG.2021.3086414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107344611&doi=10.1109%2fTVCG.2021.3086414&partnerID=40&md5=8ff509c84ca4c9a171f581bf59dbbbc7","Utah State University, Logan, 84322, UT, United States; Unist, Ulsan, 44919, South Korea","Han D., Utah State University, Logan, 84322, UT, United States; Parsad G., Unist, Ulsan, 44919, South Korea; Kim H., Unist, Ulsan, 44919, South Korea; Shim J., Unist, Ulsan, 44919, South Korea; Kwon O.-S., Unist, Ulsan, 44919, South Korea; Son K.A., Unist, Ulsan, 44919, South Korea; Lee J., Unist, Ulsan, 44919, South Korea; Cho I., Utah State University, Logan, 84322, UT, United States; Ko S., Unist, Ulsan, 44919, South Korea","Studying history involves many difficult tasks. Examples include searching for proper data in a large event space, understanding stories of historical events by time and space, and finding relationships among events that may not be apparent. Instructors who extensively use well-organized and well-argued materials (e.g., textbooks and online resources) can lead students to a narrow perspective in understanding history and prevent spontaneous investigation of historical events, with the students asking their own questions. In this article, we proposed HisVA, a visual analytics system that allows the efficient exploration of historical events from Wikipedia using three views: event, map, and resource. HisVA provides an effective event exploration space, where users can investigate relationships among historical events by reviewing and linking them in terms of space and time. To evaluate our system, we present two usage scenarios, a user study with a qualitative analysis of user exploration strategies, and in-class deployment results.  © 1995-2012 IEEE.","event visualization; studying history; Visualization for education; Wikipedia","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85107344611"
"Basnet R.B.; Johnson C.; Doleck T.","Basnet, Ram B. (22733659500); Johnson, Clayton (57212151919); Doleck, Tenzin (56426560500)","22733659500; 57212151919; 56426560500","Dropout prediction in Moocs using deep learning and machine learning","2022","Education and Information Technologies","27","8","","11499","11513","14","6","10.1007/s10639-022-11068-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132625617&doi=10.1007%2fs10639-022-11068-7&partnerID=40&md5=9bba0eab0ea7be9d16dbe0829d34e270","Colorado Mesa University, Grand Junction, CO, United States; Simon Fraser University, Burnaby, BC, Canada","Basnet R.B., Colorado Mesa University, Grand Junction, CO, United States; Johnson C., Colorado Mesa University, Grand Junction, CO, United States; Doleck T., Simon Fraser University, Burnaby, BC, Canada","The nature of teaching and learning has evolved over the years, especially as technology has evolved. Innovative application of educational analytics has gained momentum. Indeed, predictive analytics have become increasingly salient in education. Considering the prevalence of learner-system interaction data and the potential value of such data, it is not surprising that significant scholarly attention has been directed at understanding ways of drawing insights from educational data. Although prior literature on educational big data recognizes the utility of deep learning and machine learning methods, little research examines both deep learning and machine learning together, and the differences in predictive performance have been relatively understudied. This paper aims to present a comprehensive comparison of predictive performance using deep learning and machine learning. Specifically, we use educational big data in the context of predicting dropout in MOOCs. We find that machine learning classifiers can predict equally well as deep learning classifiers. This research advances our understanding of the use of deep learning and machine learning in optimizing dropout prediction performance models. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Deep learning; Educational big data; Learning analytics; Machine learning; Predictive analytics","Article","Final","","Scopus","2-s2.0-85132625617"
"Harding C.; Hasiuk F.; Wood A.","Harding, Chris (7102458013); Hasiuk, Franek (23569306500); Wood, Aaron (24765501900)","7102458013; 23569306500; 24765501900","TouchTerrain-3D printable terrain models","2021","ISPRS International Journal of Geo-Information","10","3","108","","","","4","10.3390/ijgi10030108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106505246&doi=10.3390%2fijgi10030108&partnerID=40&md5=a6cae2b14de5bf36903e2848371e9fbd","Department of Geological and Atmospheric Sciences and Human-Computer Interaction Program, Iowa State University, Ames, 50013, IA, United States; Kansas Geological Survey, Lawrence, 66047, KS, United States; Department of Geological and Atmospheric Sciences, Iowa State University, Ames, 50013, IA, United States","Harding C., Department of Geological and Atmospheric Sciences and Human-Computer Interaction Program, Iowa State University, Ames, 50013, IA, United States; Hasiuk F., Kansas Geological Survey, Lawrence, 66047, KS, United States; Wood A., Department of Geological and Atmospheric Sciences, Iowa State University, Ames, 50013, IA, United States","TouchTerrain is a simple-to-use web application that makes creating 3D printable terrain models from anywhere on the globe accessible to a wide range of users, from people with no GIS expertise to power users. For coders, a Python-based standalone version is available from the opensource project’s GitHub repository. Analyzing 18 months of web analytics gave us a preliminary look at who is using the TouchTerrain web application and what their models are used for; and to map out what terrains on the globe they chose to 3D print. From July 2019 to January 2021, more than 20,000 terrain models were downloaded. Models were created for many different use cases, including education, research, outdoor activities and crafting mementos. Most models were realized with 3D printers, but a sizable minority used CNC machines. Our own experiences with using 3D printed terrain in a university setting have been very positive so far. Anecdotal evidence points to the strong potential for 3D printed terrain models to provide significant help with specific map-related tasks. For the introductory geology laboratory, 3D printed models were used as a form of “training wheels” to aid beginning students in learning to read contour maps, which are still an important tool for geology. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","3D printing; Earth engine; Elevation; Geoscience education; Open source; Python; Terrain; Topography; Web","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85106505246"
"Yuksel M.; Smith A.N.; Smith R.S.; Bicen P.; Wilson E.J.; Weiner J.","Yuksel, Mujde (57059930100); Smith, Andrew N. (56128233600); Smith, Robert S. (57204774545); Bicen, Pelin (23968055500); Wilson, Elizabeth J. (24319284300); Weiner, Jay (57612371700)","57059930100; 56128233600; 57204774545; 23968055500; 24319284300; 57612371700","Student Interest in Client-Sponsored Projects: The Quest for Engagement in Marketing Research Courses","2021","Journal of Marketing Education","43","3","","354","370","16","2","10.1177/0273475321996797","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102148978&doi=10.1177%2f0273475321996797&partnerID=40&md5=8bdfade7c230b2b60c98fd9fd9494121","Suffolk University, Boston, MA, United States; Chadwick Martin Bailey, Boston, MA, United States","Yuksel M., Suffolk University, Boston, MA, United States; Smith A.N., Suffolk University, Boston, MA, United States; Smith R.S., Suffolk University, Boston, MA, United States; Bicen P., Suffolk University, Boston, MA, United States; Wilson E.J., Suffolk University, Boston, MA, United States; Weiner J., Chadwick Martin Bailey, Boston, MA, United States","Student engagement is regarded as a critical educational outcome. However, it has proven to be elusive to educators within technical domains, such as marketing research and analytics, which has inspired the exploration of experiential course design elements. Client-sponsored projects (CSPs) have become a popular tactic to meet this objective in such courses. The authors utilize a mixed-methods design to examine CSPs and their effectiveness in marketing research and analytics courses. In Study 1, qualitative research yields student insights regarding the desired characteristics of a CSP. Study 2 illustrates that CSPs boost student engagement through perceptions of course relevance. However, students’ subjective interest in the client represented a boundary condition for this effect. That is, CSPs did not offer value to students who lacked inherent interest in the client. In Study 3, a discrete choice model analysis outlined what attributes make clients interesting for students. Finally, Study 4 utilizes a field experiment to identify project-framing tactics that increase student interest through enhanced client familiarity. A series of recommendations are provided to maximize the efficacy of CSPs to marketing research and analytics courses. © The Author(s) 2021.","client-sponsored projects; course content; engagement; experiential learning; interest; marketing education issues; marketing research; mixed methods; relevance","Article","Final","","Scopus","2-s2.0-85102148978"
